"tarsus","back","dam","fosternest","hatchdate","sex","weight","habitat","bill_length","bill_depth"
14.69,549.418219315561,"R187592","F1102",47,"Male",9.7,"forest",11.798,0.649
13.86,550.703375272759,"R187575","F902",47,"Male",9.2,"park",11.079,0.643
15.14,551.464238869871,"Fem5","F202",50,"Male",10.2,"park",12.145,0.636
14.77,549.154847772713,"R186912","F102",54,"Male",9.9,"forest",11.827,0.619
13.33,549.478489286673,"R187930","G2202",50,"Fem",9.1,"park",10.638,0.663
14.61,549.769521298355,"R187513","G1902",47,"Male",10,"park",11.721,0.699
14.69,547.565913828935,"R187000","G1802",52,"UNK",9.9,"forest",11.683,0.619
14.54,549.161572298009,"R187598","G1602",49,"Fem",10.1,"forest",11.599,0.627
14.54,550.062462409342,"R187918","G1302",49,"Fem",9.4,"park",11.629,0.611
14.92,551.375669766168,"R187914","G1202",49,"Fem",10.1,"park",11.933,0.672
14.16,550.312951071325,"R187957","G702",51,"Male",9.5,"park",11.356,0.624
14.69,549.141251306595,"R187955","G602",49,"Male",10.1,"park",11.771,0.606
14.24,550.437471935081,"R187552","G502",47,"Male",9.4,"park",11.364,0.633
14.46,550.671408433556,"R187535","G102",47,"Male",9.8,"forest",11.569,0.673
14.77,549.172506982374,"R187527","H3602",45,"Male",9.9,"forest",11.799,0.616
14.99,550.415094727741,"R187595","H3202",48,"Fem",10.3,"park",12.015,0.625
14.84,549.6867701477,"R187925","H3102",49,"Fem",10.2,"park",11.899,0.684
14.69,548.763710103491,"R187001","H2602",46,"Male",10,"forest",11.775,0.631
14.31,549.74419949765,"R186918","H2502",55,"Male",9.6,"park",11.435,0.606
14.61,549.078881094409,"R187637","H1802",51,"Male",9.9,"park",11.686,0.657
14.54,548.865442675371,"K983388","H1302",48,"Male",10.1,"forest",11.608,0.651
14.61,550.325850187502,"Fem20","H1102",48,"Male",9.8,"park",11.664,0.643
14.84,548.789560473822,"R187086","H502",47,"Male",10.2,"forest",11.818,0.617
14.92,549.680614333039,"R187009","H102",46,"Male",10,"forest",11.937,0.648
13.93,549.271306854136,"R187926","G402",49,"Fem",9.1,"park",11.172,0.581
15.07,549.165571916565,"R187926","G402",49,"Male",10.2,"park",12.061,0.628
14.61,548.381773139547,"R187926","G402",49,"Male",10,"park",11.699,0.615
14.69,548.090662766709,"R187926","G402",49,"Fem",10,"park",11.763,0.647
14.24,550.900692608024,"R187926","G402",49,"Male",9.7,"park",11.396,0.642
14.08,549.099161341811,"R187926","G402",49,"Male",9.6,"park",11.213,0.643
14.92,550.259150882251,"R187951","F2502",50,"UNK",9.6,"park",11.941,0.654
14.54,549.924009857162,"R187926","G402",49,"Male",9.8,"forest",11.668,0.713
14.84,549.78905214743,"R187951","F2502",50,"Male",10,"park",11.912,0.66
14.61,548.186378717102,"R187926","G402",49,"UNK",10,"park",11.702,0.582
14.61,550.246608875518,"R187517","C2202",44,"Male",9.8,"park",11.623,0.622
13.93,548.95192836573,"R187399","B2502",47,"Fem",9.6,"forest",11.157,0.619
14.61,552.324443380751,"R187927","D402",50,"UNK",9.6,"forest",11.686,0.676
14.61,552.265892425493,"R187951","F2502",50,"Fem",9.7,"park",11.69,0.622
14.16,548.642765748147,"R187926","G402",49,"Male",9.7,"forest",11.316,0.557
13.78,549.970402739719,"R187562","A602",47,"Male",9.5,"park",11.027,0.604
14.54,549.194456994696,"R186910","A1202",54,"UNK",10.2,"park",11.636,0.631
13.71,549.319078509261,"R187598","A1602",49,"Fem",9.2,"park",10.94,0.618
14.77,550.430442781977,"R187518","A2602",45,"Male",9.9,"forest",11.783,0.694
14.54,550.246386414662,"R187517","C2202",44,"Male",9.8,"forest",11.644,0.654
15.03,550.951799272731,"R187399","B2502",47,"Male",10.1,"forest",12.02,0.712
14.46,549.345591421229,"R187239","B202",48,"Fem",9.7,"park",11.541,0.653
14.77,550.950165522811,"R187927","D402",50,"Fem",10.3,"park",11.825,0.684
13.93,549.507322770789,"R187951","F2502",50,"Fem",9.2,"forest",11.123,0.601
13.93,551.109057585551,"R187931","G2202",49,"Fem",10,"park",11.171,0.629
14.08,549.050004207495,"R187926","G402",49,"Fem",9.5,"forest",11.248,0.65
14.46,551.013174197962,"R187001","H102",46,"Male",10,"forest",11.591,0.601
13.78,548.898495931214,"R187562","A602",47,"Male",9.2,"forest",11.041,0.636
13.48,549.875868877957,"R186910","A1202",54,"Fem",9.1,"park",10.795,0.576
14.31,548.23158147558,"R187598","A1602",49,"Fem",10,"forest",11.509,0.641
14.84,549.038380383325,"R187518","A2602",45,"Male",10.1,"forest",11.865,0.622
14.39,548.066179062484,"R187552","C2602",47,"Male",9.7,"forest",11.523,0.602
15.22,549.689766225592,"R187517","C2202",44,"Male",10.6,"park",12.23,0.646
14.16,550.479683944584,"R187398","C602",44,"Male",9.6,"forest",11.295,0.644
15.3,549.769920704725,"R187936","C202",50,"Male",10.2,"forest",12.218,0.643
14.69,551.989442510582,"R187399","B2502",47,"Male",10,"forest",11.763,0.628
14.61,548.384555768394,"R187239","B202",48,"Male",10,"park",11.678,0.614
14.39,551.757071921204,"R187927","D402",50,"Fem",9.4,"forest",11.469,0.678
13.93,552.159334143231,"R187932","D202",49,"Fem",9.5,"park",11.159,0.64
14.54,549.807983747887,"R187516","D102",45,"Fem",9.7,"forest",11.616,0.616
13.86,548.984623124484,"R187948","E1702",51,"Fem",9.4,"forest",11.097,0.613
14.24,550.386107008732,"R187961","E1302",52,"Male",9.7,"park",11.406,0.617
13.93,552.395128669542,"R187166","E1102",47,"Male",9.4,"forest",11.136,0.63
14.01,548.912372834089,"R187588","E702",47,"Male",9.5,"forest",11.222,0.583
14.31,550.73788287371,"R187951","F2502",50,"Fem",9.8,"park",11.457,0.661
15.07,550.193024713998,"R187559","F2102",47,"Fem",10.1,"park",12.095,0.677
15.45,549.614678957924,"R187030","F1702",46,"Male",10.6,"park",12.424,0.675
14.77,548.35477266688,"R187592","F902",47,"Male",10,"forest",11.788,0.703
14.61,549.90382557129,"R187941","F202",50,"Fem",10.1,"park",11.653,0.667
14.46,550.523076530899,"R187931","G2202",49,"Male",9.9,"park",11.646,0.595
14.46,548.360273556227,"R186902","G1802",52,"Male",9.7,"park",11.584,0.619
14.24,550.082045449291,"R187914","G602",49,"Fem",9.6,"park",11.378,0.588
14.46,549.438127352357,"R187926","G402",49,"Male",10,"park",11.596,0.664
14.84,551.064144229582,"R187086","G102",47,"Fem",10.1,"park",11.873,0.637
15.07,552.084077389737,"R187553","H3202",48,"Male",10.4,"park",12.054,0.653
14.61,549.84736283525,"R186917","H2502",55,"Male",10.1,"park",11.671,0.659
14.77,551.682254546073,"Fem20","H1302",48,"Male",9.7,"forest",11.798,0.661
14.39,550.827444165426,"R187001","H102",46,"Fem",9.6,"park",11.493,0.672
14.61,549.345052916241,"R187566","A102",47,"Fem",9.4,"forest",11.713,0.626
14.46,549.59085067272,"R187539","A302",47,"Male",9.7,"forest",11.607,0.7
13.25,548.869233610425,"R187562","A602",47,"Male",9.1,"forest",10.59,0.546
13.25,549.713449739338,"R187563","A1002",47,"Fem",9.3,"forest",10.595,0.604
14.77,549.628379791163,"R186910","A1202",54,"Male",10.4,"park",11.815,0.674
14.01,549.692901832203,"R187598","A1602",49,"Fem",9.7,"forest",11.165,0.624
14.01,550.913645416779,"R187527","A1802",45,"Male",9.4,"park",11.131,0.648
14.69,551.253478703248,"P322402","A2202",45,"Male",9.9,"park",11.723,0.652
14.16,550.664549313795,"R187569","A22B02",48,"Male",9.7,"forest",11.318,0.559
13.63,549.816066926666,"R187568","A2302",47,"Fem",9.1,"forest",10.911,0.592
13.93,550.442853779361,"R187518","A2602",45,"Fem",9.5,"forest",11.168,0.608
14.99,548.074573485088,"R187552","C2602",47,"Male",10,"park",12.003,0.652
13.78,550.796480109671,"R187595","C2402",48,"Male",9.4,"forest",11.066,0.619
14.92,550.133440602121,"R187594","C2302",49,"Male",10.3,"forest",11.954,0.687
14.99,550.621571089338,"R187517","C2202",44,"Fem",10.3,"park",12.042,0.679
14.54,548.949366799018,"R187531","C1302",46,"Male",10.2,"forest",11.657,0.629
13.86,549.205515379095,"R187398","C602",44,"Male",9.2,"park",11.077,0.6
14.54,549.648389330858,"R187936","C202",50,"Fem",9.7,"forest",11.639,0.657
15.52,549.417186097885,"R186908","B1702",53,"Male",10.4,"park",12.418,0.674
14.39,552.724719693246,"R187000","B1402",52,"UNK",9.6,"forest",11.515,0.642
13.1,551.094024162873,"R186912","B1102",54,"Fem",9.2,"forest",10.5,0.513
14.99,550.920588748038,"Fem3","B1002",47,"Male",9.9,"forest",12,0.629
15.22,549.89508624548,"R187239","B202",48,"Fem",10.1,"forest",12.192,0.61
13.93,550.040583440415,"R187545","D902",47,"Male",9.3,"park",11.145,0.647
14.99,552.395509034444,"R187540","D602",45,"Male",10.5,"park",11.977,0.683
13.86,549.936775819689,"R187932","D202",49,"Fem",9.2,"forest",11.096,0.557
14.61,547.352939656578,"R187516","D102",45,"Fem",10,"park",11.765,0.603
14.46,548.632054771916,"R187948","E1702",51,"Fem",9.7,"park",11.538,0.617
14.69,551.982227924853,"R187524","E1402",45,"Male",9.5,"forest",11.806,0.651
14.69,550.767214092693,"R187961","E1302",52,"UNK",9.9,"park",11.792,0.676
14.92,549.024715560922,"R187579","E1202",47,"Male",9.5,"forest",11.933,0.702
14.69,551.41154433546,"R187166","E1102",47,"Male",10,"park",11.781,0.694
13.33,548.912044545811,"R186907","E1002",53,"Fem",9,"park",10.648,0.6
14.08,550.043590128162,"R187588","E702",47,"Fem",9.7,"forest",11.305,0.63
14.54,550.642100012169,"R187945","E302",49,"Fem",9.8,"forest",11.604,0.671
14.54,551.507967561685,"R187951","F2502",50,"Fem",9.6,"park",11.589,0.691
15.07,548.333553424946,"R187155","F2402",47,"Male",9.9,"forest",12.035,0.702
14.99,550.554874400904,"R187559","F2102",47,"Male",10.1,"forest",12.001,0.686
13.63,549.30091652206,"R187557","F1902",47,"UNK",9.2,"park",10.945,0.607
15.14,550.162727488073,"R187030","F1702",46,"Fem",10.3,"forest",12.091,0.652
14.46,549.844134654206,"R187964","F1502",53,"Fem",10.1,"park",11.568,0.674
15.3,550.540879088692,"R187592","F902",47,"Male",10.7,"park",12.24,0.658
14.99,551.955660367291,"R187941","F202",50,"Male",9.7,"forest",12.005,0.614
14.46,549.939602934665,"R187931","G2202",49,"Fem",9.6,"park",11.606,0.644
13.78,548.914689901163,"R186902","G1802",52,"Fem",9.2,"park",11.043,0.615
14.08,549.04269049038,"R187916","G1602",49,"Fem",9.8,"park",11.309,0.616
14.99,548.216120587551,"R187955","G1202",49,"Male",10.1,"forest",11.975,0.697
14.92,549.461225895649,"R187914","G602",49,"Male",10.1,"forest",11.901,0.713
14.54,549.685214354593,"R187926","G402",49,"Fem",9.7,"forest",11.688,0.608
14.61,550.889279958026,"R187086","G102",47,"Fem",10.1,"forest",11.705,0.666
14.35,551.569286413074,"R187515","H3602",45,"Fem",9.5,"park",11.424,0.621
14.01,549.356844043274,"R187553","H3202",48,"UNK",9,"forest",11.173,0.645
14.31,549.648328015876,"R186917","H2502",55,"Fem",9.8,"park",11.482,0.61
14.39,549.591715578297,"Fem20","H1302",48,"Male",9.7,"park",11.555,0.661
14.39,548.969463889914,"K983388","H1102",48,"Fem",9.7,"park",11.5,0.66
14.84,548.673491052823,"R187535","H502",47,"Male",9.9,"park",11.87,0.612
13.93,550.676345190497,"R187001","H102",46,"Male",9.8,"park",11.123,0.661
14.69,549.601052363025,"R187566","A102",47,"Fem",9.9,"park",11.729,0.609
13.93,551.333819484826,"R187539","A302",47,"Fem",9.6,"forest",11.089,0.626
13.86,550.843543123731,"R187343","A502",48,"Male",9.3,"park",11.086,0.567
13.25,550.125229664939,"R187562","A602",47,"Fem",9,"park",10.616,0.601
13.63,550.475002816893,"R187563","A1002",47,"Fem",9.2,"forest",10.86,0.626
14.08,549.746435836119,"R186910","A1202",54,"UNK",9.2,"park",11.225,0.597
14.16,550.168977411526,"R187598","A1602",49,"Male",9.4,"park",11.363,0.638
14.73,550.851913048688,"R187527","A1802",45,"Fem",10.3,"forest",11.747,0.605
13.93,549.638767369863,"P322402","A2202",45,"Fem",9.3,"forest",11.191,0.627
14.01,549.56115604332,"R187569","A22B02",48,"Fem",9.5,"park",11.191,0.587
14.39,548.196440531959,"R187568","A2302",47,"Fem",9.8,"park",11.477,0.628
14.69,552.062862574632,"R187518","A2602",45,"Male",10,"forest",11.747,0.625
14.16,547.123830146747,"R187552","C2602",47,"Fem",9.2,"forest",11.348,0.585
13.93,548.824363677648,"R187594","C2302",49,"Fem",9.2,"forest",11.13,0.6
14.54,551.605408630445,"R187517","C2202",44,"Fem",9.3,"park",11.605,0.666
14.24,549.301202120891,"R187400","C1902",47,"Fem",9.4,"park",11.364,0.642
14.39,551.138893638373,"R187531","C1302",46,"Male",9.9,"forest",11.554,0.636
14.69,550.43946904913,"R187398","C602",44,"Fem",10.1,"forest",11.801,0.638
14.54,552.605985255056,"R187936","C202",50,"Fem",9.8,"park",11.641,0.622
14.77,549.460892140876,"R187399","B2502",47,"Fem",9.9,"forest",11.829,0.681
14.92,549.112609801766,"R187521","B2202",46,"Fem",10.3,"forest",11.96,0.655
14.99,550.940791339594,"R186908","B1702",53,"Male",10.1,"park",11.957,0.618
14.84,550.040282763264,"R187824","B1602",53,"Male",9.8,"park",11.935,0.618
14.39,550.782064192157,"R187000","B1402",52,"Fem",9.9,"park",11.482,0.611
14.77,550.585041678131,"R187947","B1202",51,"Male",10,"park",11.839,0.671
13.25,548.583820692503,"R186912","B1102",54,"Fem",8.8,"park",10.559,0.526
14.31,549.449425524876,"Fem3","B1002",47,"Male",10.1,"forest",11.467,0.655
14.16,548.949073826272,"R187958","B902",51,"Fem",9.7,"forest",11.348,0.646
14.77,550.874857411997,"R186918","B702",55,"Male",10.1,"park",11.778,0.668
14.46,551.603408950412,"R187590","B502",49,"Male",9.9,"park",11.553,0.675
15.07,549.031979208319,"R187239","B202",48,"Male",9.8,"forest",12.017,0.661
13.4,550.265135205539,"R187548","D1202",48,"Fem",9.1,"park",10.704,0.61
13.93,548.640180440893,"R187546","D1002",47,"Fem",9.3,"park",11.18,0.613
13.93,548.757809211643,"R187545","D902",47,"Fem",9.4,"forest",11.211,0.624
14.95,551.939020816333,"R187540","D602",45,"Fem",10,"forest",11.957,0.652
14.92,552.451672133159,"R187927","D402",50,"Male",9.9,"park",11.922,0.668
14.46,550.9974931242,"R187932","D202",49,"Fem",9.6,"park",11.561,0.648
14.01,551.038254533377,"R187516","D102",45,"Fem",9.4,"park",11.24,0.585
14.69,549.787382984497,"R187948","E1702",51,"Male",9.6,"forest",11.771,0.626
14.46,549.608916545598,"R187524","E1402",45,"Fem",10,"park",11.525,0.655
14.54,549.82757861237,"R187961","E1302",52,"UNK",9.6,"park",11.63,0.594
14.46,550.477999534187,"R187579","E1202",47,"Fem",9.7,"forest",11.558,0.605
14.08,550.013391495599,"R187166","E1102",47,"Male",9.8,"forest",11.21,0.636
15.07,549.077546510128,"R186907","E1002",53,"Male",10,"forest",12.069,0.66
14.46,549.433760693505,"R187582","E902",48,"Fem",9.9,"forest",11.575,0.67
15.07,549.420311141845,"R187999","E802",52,"Male",10.2,"park",12.041,0.674
14.54,549.108683603959,"R187588","E702",47,"Fem",10,"forest",11.611,0.669
14.24,550.560497272685,"R187945","E302",49,"Fem",9.8,"park",11.401,0.556
14.39,550.047741189616,"R187951","F2502",50,"Male",9.2,"forest",11.509,0.647
15.3,550.413741232128,"R187155","F2402",47,"Male",10.3,"forest",12.248,0.724
15.07,549.303820006066,"R187559","F2102",47,"Fem",10.3,"park",12.042,0.671
14.69,550.491067230292,"R187557","F1902",47,"Male",10.1,"park",11.75,0.604
15.45,548.611956817751,"R187030","F1702",46,"Male",10.3,"forest",12.384,0.696
14.77,550.777595773882,"R187964","F1502",53,"Male",10.2,"forest",11.815,0.667
14.01,549.261918819584,"R187575","F1102",47,"Fem",9.5,"forest",11.192,0.624
14.46,550.335442876392,"R187592","F902",47,"Fem",9.8,"park",11.581,0.609
14.54,550.826926510133,"R187941","F202",50,"Male",9.7,"park",11.614,0.619
13.78,549.487853506361,"R187931","G2202",49,"Fem",9,"park",11.008,0.647
14.46,548.873316738604,"R187573","G1902",47,"Male",9.9,"forest",11.525,0.639
13.86,551.462701349146,"R187916","G1602",49,"Fem",9.4,"park",11.117,0.63
14.77,549.166625334443,"R187925","G1302",49,"Fem",9.8,"forest",11.824,0.639
14.61,551.631781242025,"R187955","G1202",49,"UNK",9.8,"park",11.687,0.621
15.37,549.423901365982,"R187914","G602",49,"Male",10.4,"forest",12.28,0.658
14.39,549.544759787662,"R187926","G402",49,"Fem",9.6,"forest",11.475,0.615
14.16,549.97791854385,"R187086","G102",47,"Fem",9.3,"park",11.33,0.68
15.07,550.389774220477,"R187515","H3602",45,"Fem",10.3,"forest",12.069,0.677
14.46,549.685548945653,"R187553","H3202",48,"Fem",9.6,"forest",11.589,0.647
14.31,548.194011844938,"R186917","H2502",55,"Male",9.7,"forest",11.489,0.598
14.54,547.830084970788,"R187957","H1802",51,"Male",9.8,"forest",11.633,0.608
13.25,549.056704127525,"Fem20","H1302",48,"Fem",8.9,"forest",10.558,0.548
14.24,548.936519687473,"K983388","H1102",48,"Male",9.7,"park",11.402,0.587
14.39,549.608792935989,"R186903","H702",53,"UNK",9.7,"forest",11.536,0.634
14.69,551.808772841424,"R187535","H502",47,"Male",9.5,"forest",11.793,0.644
14.61,548.221037328444,"R186911","H302",53,"Fem",9.9,"forest",11.747,0.639
14.46,552.00740223481,"R187001","H102",46,"Fem",9.6,"forest",11.567,0.607
14.39,550.594096017615,"R187566","A102",47,"Male",9.6,"forest",11.527,0.575
14.69,552.111486805472,"R187539","A302",47,"Male",9.9,"forest",11.772,0.709
14.01,550.026525224031,"R187343","A502",48,"Male",9.5,"park",11.181,0.621
13.71,549.278759133744,"R187562","A602",47,"Fem",9.3,"forest",11.015,0.567
14.01,547.79548244782,"R187563","A1002",47,"Fem",9.2,"park",11.232,0.615
15.07,549.363064406344,"R186910","A1202",54,"Male",10.3,"park",12.08,0.649
14.77,550.036641237656,"R187528","A1302",45,"Male",10.1,"park",11.825,0.652
14.46,550.211597249183,"R187598","A1602",49,"UNK",9.8,"forest",11.556,0.633
13.4,549.013759167504,"R187527","A1802",45,"Fem",9,"park",10.772,0.593
14.39,550.105901812417,"Fem2","A18B02",53,"Male",9.5,"forest",11.549,0.634
14.99,548.853633702578,"P322402","A2202",45,"Male",9.8,"forest",11.988,0.617
13.93,549.808505759167,"R187569","A22B02",48,"Male",9.2,"park",11.107,0.667
14.54,551.413091312712,"R187568","A2302",47,"Fem",9.7,"forest",11.668,0.653
13.86,552.467897386707,"R187518","A2602",45,"Fem",9.7,"forest",11.109,0.564
15.07,549.143312775966,"R187537","A2702",47,"Male",10.3,"park",12.007,0.644
14.39,548.448293899991,"R187552","C2602",47,"Fem",9.7,"park",11.486,0.6
14.54,551.851783209695,"R187595","C2402",48,"Male",10,"forest",11.658,0.63
14.61,549.37329006194,"R187594","C2302",49,"Fem",10,"park",11.677,0.616
15.37,549.840003011328,"R187517","C2202",44,"Male",10.5,"forest",12.314,0.693
14.84,550.068811793431,"R187400","C1902",47,"Male",10.1,"park",11.863,0.639
13.93,552.545533411208,"R187531","C1302",46,"Fem",9.8,"park",11.17,0.638
14.27,550.51336851014,"R046108","C402",44,"UNK",9.6,"forest",11.403,0.598
13.93,549.609245715853,"R187936","C202",50,"Male",9.4,"forest",11.142,0.595
14.77,548.514655155835,"R187399","B2502",47,"Fem",10.2,"park",11.781,0.621
14.99,552.429525539174,"R187521","B2202",46,"Male",10.1,"forest",12.031,0.668
14.08,551.412877711449,"R187940","B2102",50,"Fem",9.7,"park",11.322,0.649
14.84,550.188969584284,"R186908","B1702",53,"Fem",10.2,"park",11.866,0.678
14.61,549.494886842697,"R187824","B1602",53,"Fem",10,"forest",11.695,0.656
14.77,551.087064726523,"R187953","B1302",51,"Fem",10.2,"park",11.82,0.643
14.69,549.233999783927,"R187947","B1202",51,"Fem",9.8,"park",11.716,0.602
13.1,549.042886652803,"R186912","B1102",54,"UNK",9.1,"park",10.504,0.54
14.54,550.39687308107,"Fem3","B1002",47,"Fem",9.9,"forest",11.619,0.672
14.61,550.555707902999,"R187958","B902",51,"Fem",9.7,"forest",11.7,0.636
14.84,551.531045646894,"R187590","B502",49,"Male",10,"park",11.85,0.668
14.54,548.701440786992,"R187239","B202",48,"Fem",9.8,"park",11.639,0.668
13.71,550.679089249541,"R187944","D1302",51,"UNK",9.3,"forest",10.943,0.632
13.63,550.18920943261,"R187548","D1202",48,"Male",9.3,"forest",10.935,0.635
14.24,548.187015967674,"R187963","D1102",53,"UNK",9.2,"forest",11.389,0.591
14.99,550.156266815364,"R187546","D1002",47,"Male",10.2,"forest",12.033,0.66
14.39,548.431332576046,"R187545","D902",47,"UNK",9.5,"forest",11.551,0.598
14.61,550.843750998792,"R187547","D802",48,"Fem",10.1,"park",11.626,0.708
14.77,551.179884770094,"R187540","D602",45,"Male",9.8,"forest",11.818,0.646
14.39,550.827821940049,"R187927","D402",50,"Fem",10.1,"park",11.477,0.655
13.86,552.162530710031,"R187932","D202",49,"Fem",9.2,"park",11.073,0.631
14.77,552.65766811879,"R187516","D102",45,"Male",9.8,"forest",11.844,0.651
12.95,550.317084401806,"R187523","E2002",46,"Fem",8.8,"park",10.332,0.517
13.86,549.201833205901,"R187948","E1702",51,"Fem",9.7,"park",11.088,0.637
14.61,549.166530315297,"R187577","E1602",47,"Male",10,"forest",11.674,0.655
14.92,551.920145269944,"R187524","E1402",45,"Male",9.9,"park",11.954,0.66
14.61,549.60295919343,"R187961","E1302",52,"Fem",9.8,"park",11.715,0.671
14.69,547.671690942661,"R187579","E1202",47,"Male",10.2,"park",11.771,0.621
13.86,549.932946446649,"R187166","E1102",47,"Fem",9.4,"park",11.11,0.62
15.07,550.311455761623,"R187582","E902",48,"Male",10.1,"park",12.086,0.665
14.54,550.395498261597,"R187999","E802",52,"UNK",10,"park",11.625,0.685
14.54,549.802401704194,"R187588","E702",47,"Fem",9.9,"park",11.626,0.663
14.84,550.606484435863,"R187945","E302",49,"Male",9.9,"park",11.812,0.651
13.86,550.114822387429,"R188000","F2702",51,"Male",9.3,"park",11.074,0.578
14.77,549.714375200735,"R187951","F2502",50,"Male",9.9,"forest",11.813,0.63
14.54,548.781876744666,"R187155","F2402",47,"UNK",9.6,"park",11.65,0.632
14.77,550.480139574424,"R187559","F2102",47,"Fem",10.3,"park",11.836,0.627
13.25,550.940184446183,"R187557","F1902",47,"Male",8.9,"forest",10.6,0.58
14.99,550.276899518092,"R187030","F1702",46,"Male",10.2,"forest",11.992,0.68
15.37,550.51527587017,"R187964","F1502",53,"Male",10.3,"park",12.363,0.709
14.99,550.154358187465,"R187575","F1102",47,"Male",10.4,"forest",11.986,0.668
15.07,549.266886460054,"R187592","F902",47,"Male",9.8,"park",12.098,0.671
14.61,552.593670580611,"R187941","F202",50,"Male",9.9,"forest",11.658,0.624
14.46,551.270352069056,"R187902","F102",54,"Fem",9.8,"park",11.549,0.585
14.61,551.528165183268,"R187931","G2202",49,"Male",9.6,"park",11.727,0.595
14.16,548.994376789537,"R187573","G1902",47,"Fem",9.7,"park",11.318,0.606
13.93,548.938430116519,"R186902","G1802",52,"Fem",9.4,"forest",11.154,0.635
13.48,550.509280910835,"R187916","G1602",49,"Fem",9,"park",10.798,0.604
14.54,551.225708499452,"R187925","G1302",49,"Fem",9.5,"park",11.608,0.621
15.07,548.51283465927,"R187955","G1202",49,"Male",10.3,"forest",12.09,0.69
15.07,549.605212556224,"R187914","G602",49,"Fem",10,"forest",12.061,0.685
14.77,550.657848501513,"R187086","G102",47,"Male",10.1,"forest",11.802,0.667
14.69,549.112777054339,"R187515","H3602",45,"Male",10.1,"park",11.763,0.638
14.54,549.302465631267,"R187553","H3202",48,"Male",9.9,"forest",11.595,0.658
14.46,551.01026884265,"R187920","H3002",50,"Male",9.5,"forest",11.528,0.658
14.08,549.752885959577,"R187512","H2802",45,"Fem",9.4,"park",11.279,0.624
14.61,550.956691903345,"R186917","H2502",55,"Fem",10.3,"forest",11.653,0.625
14.77,552.447209745584,"R187957","H1802",51,"Fem",10,"forest",11.8,0.639
14.77,551.271824433309,"Fem20","H1302",48,"Male",10.4,"park",11.798,0.711
14.61,549.523620200194,"K983388","H1102",48,"Male",10.1,"park",11.656,0.669
14.69,549.580474826614,"R187535","H502",47,"Male",10.2,"park",11.741,0.69
15.22,549.621981715828,"R186911","H302",53,"Male",10.3,"park",12.136,0.72
14.24,549.243671789304,"R187001","H102",46,"Fem",9.8,"park",11.437,0.659
14.46,549.505866524666,"R187566","A102",47,"Male",9.8,"forest",11.562,0.644
14.54,549.095462835411,"R187539","A302",47,"Fem",9.6,"forest",11.65,0.6
14.16,552.251408486626,"R187343","A502",48,"Male",9.4,"forest",11.32,0.618
14.39,550.760622739837,"R187562","A602",47,"Male",9.7,"forest",11.55,0.668
14.69,549.52441908236,"R187563","A1002",47,"Male",10.1,"forest",11.768,0.62
14.08,548.259764581857,"R186910","A1202",54,"Fem",9.5,"park",11.273,0.623
14.01,551.530763913061,"R187528","A1302",45,"Fem",9.7,"park",11.225,0.631
14.77,550.336694702874,"R187598","A1602",49,"Male",10,"forest",11.791,0.704
14.31,550.643856249832,"R187527","A1802",45,"Fem",9.8,"forest",11.469,0.613
14.69,550.64001182572,"Fem2","A18B02",53,"Male",9.5,"forest",11.765,0.658
14.46,549.71237484434,"P322402","A2202",45,"Fem",9.9,"park",11.584,0.619
13.4,551.015232550922,"R187569","A22B02",48,"Fem",9.2,"park",10.685,0.61
14.69,550.087801165749,"R187568","A2302",47,"Fem",10,"forest",11.817,0.621
15.37,551.041270395876,"R187518","A2602",45,"Male",10.4,"park",12.273,0.67
14.54,550.429225711737,"R187537","A2702",47,"Male",9.7,"park",11.596,0.685
14.84,548.141188845441,"R187552","C2602",47,"Fem",9.8,"park",11.902,0.691
13.86,549.429793539133,"R187595","C2402",48,"Fem",9,"forest",11.034,0.57
14.54,549.675712856315,"R187594","C2302",49,"Fem",9.6,"park",11.645,0.655
14.92,547.967079840172,"R187517","C2202",44,"Male",9.8,"park",11.912,0.688
15.22,548.894233571092,"R187400","C1902",47,"Male",10.5,"park",12.182,0.663
14.61,551.928368026303,"R187531","C1302",46,"Fem",9.7,"forest",11.713,0.63
14.69,550.36307599776,"R187398","C602",44,"Male",9.8,"forest",11.719,0.679
14.16,549.22867138956,"R046108","C402",44,"Fem",9.7,"forest",11.337,0.602
14.46,549.702106386333,"R187936","C202",50,"Fem",9.6,"park",11.536,0.637
13.86,551.972840451873,"R187399","B2502",47,"Fem",9.6,"forest",11.093,0.613
15.3,549.743090927131,"R187521","B2202",46,"Male",10.3,"forest",12.23,0.709
14.54,548.786945966881,"R187940","B2102",50,"Fem",9.7,"forest",11.614,0.64
14.84,550.179866513849,"R187937","B1902",50,"Fem",10.2,"forest",11.933,0.699
14.69,551.202727791574,"R186908","B1702",53,"Fem",9.9,"park",11.787,0.646
14.31,549.726837449745,"R187824","B1602",53,"Male",9.9,"forest",11.435,0.611
15.37,547.390053050845,"R187000","B1402",52,"Male",10,"forest",12.312,0.682
15.3,551.094918892132,"R187953","B1302",51,"Male",10.1,"park",12.241,0.671
14.31,550.720299176251,"R187947","B1202",51,"Fem",9.3,"park",11.435,0.613
13.1,549.405685216487,"R186912","B1102",54,"Fem",8.6,"park",10.467,0.584
14.08,551.297194860909,"Fem3","B1002",47,"Fem",9.3,"forest",11.3,0.636
14.61,549.059833242892,"R187958","B902",51,"Male",10.1,"forest",11.659,0.647
